source,target,distance,similarity,target_family,target_display
spa,slv,0.682774,0.317226,slavic,Slovenian
vec,ita,0.409126,0.590874,italian,Italian
vec,lmo,0.425404,0.574596,italo_romance,Lombard
vec,lij,0.447125,0.552875,italo_romance,Ligurian
vec,sc,0.479493,0.520507,italo_romance,Sardinian
vec,spa,0.484366,0.515634,romance,Spanish
vec,fur,0.509594,0.490406,italo_romance,Friulian
vec,cat,0.530080,0.469920,romance,Catalan
vec,scn,0.533584,0.466416,italo_romance,Sicilian
vec,fra,0.534939,0.465061,romance,French
vec,eng,0.551207,0.448793,english,English
vec,deu,0.668078,0.331922,germanic,German
vec,slv,0.685727,0.314273,slavic,Slovenian
