code,rank,feature,weight
nap,1,▁crestiane,0.07422194015652818
nap,2,'',0.06965469943140216
nap,3,▁pruvincia,0.06170701454444856
nap,4,▁abitante,0.05710918902904979
nap,5,▁cchiù,0.05624717574753987
nap,6,▁juorno,0.05591810480627871
nap,7,▁secunno,0.055501690076882194
nap,8,▁seculo,0.05506331034212354
nap,9,▁fuje,0.05497623829169571
nap,10,▁calannario,0.05488127366965813
nap,11,▁greguriano,0.05478873828907738
nap,12,▁ammancano,0.05466373328910009
nap,13,▁ncopp,0.05404285211008601
nap,14,▁assaje,0.05351766638045721
nap,15,▁songo,0.052438584532534874
nap,16,zzione,0.04924907176942677
nap,17,▁journe,0.047339375867893545
nap,18,▁cumune,0.045457163907518604
nap,19,▁quanno,0.04505836145822295
nap,20,▁napulitana,0.044229559477398664
nap,21,▁ë,0.044145409635815695
nap,22,▁canusciu,0.0435270771062233
nap,23,▁comune,0.04327916477317076
nap,24,▁napule,0.04322816411118558
nap,25,▁cchi,0.04248685428322843
nap,26,▁ppe,0.040781854890404395
nap,27,▁napulit,0.04047696232328366
nap,28,▁accussì,0.040182329924636266
nap,29,▁dint,0.039751399187383546
nap,30,▁cuneo,0.03927852130222136
scn,1,▁ntô,0.06779562432942053
scn,2,▁dâ,0.062209112498223584
scn,3,▁ntâ,0.060181475469096746
scn,4,zzioni,0.05915005715276519
scn,5,▁pupulazzioni,0.05691642561112057
scn,6,▁cumuni,0.05647216327908078
scn,7,▁ntî,0.05493122001934184
scn,8,▁macari,0.054561828255147785
scn,9,▁dû,0.053662561910183766
scn,10,▁ntê,0.05297853370864167
scn,11,▁quannu,0.05295412239526647
scn,12,▁cchiù,0.05293194911769378
scn,13,▁havi,0.0525584055988781
scn,14,attrova,0.051768423333504295
scn,15,▁talianu,0.05146341960511231
scn,16,▁sunnu,0.05044103324165272
scn,17,▁vinni,0.050438110137138954
scn,18,igghia,0.05033628024513851
scn,19,▁sicilianu,0.050267649808662565
scn,20,▁munnu,0.05019841201529851
scn,21,▁pruvincia,0.050163564948785315
scn,22,èmmiru,0.04965862423581947
scn,23,▁nzinu,0.04935474838706475
scn,24,▁tirri,0.049276898793613216
scn,25,▁riggiuni,0.049237681570700714
scn,26,▁dî,0.04884779815185389
scn,27,▁èssiri,0.04840899027585203
scn,28,▁chiddu,0.04823217326817733
scn,29,▁granni,0.04741090676891284
scn,30,▁nta,0.04696966544717912
vec,1,▁ghea,0.05136380279585052
vec,2,▁canp,0.05119952021406194
vec,3,▁venesia,0.05056535131500875
vec,4,▁dopar,0.050321188991657884
vec,5,▁inport,0.05013286282468125
vec,6,▁sità,0.04883722770728639
vec,7,▁oncora,0.04806892814707494
vec,8,▁popolasion,0.04785853392876102
vec,9,▁cofà,0.04691881462663111
vec,10,▁zera,0.04680429940428494
vec,11,▁estende,0.044217351390382506
vec,12,▁xe,0.04360434797511151
vec,13,▁prinsi,0.04284657913670497
vec,14,ùo,0.04218874176765748
vec,15,▁rejon,0.04183213341965239
vec,16,blega,0.04145900465069725
vec,17,▁senpre,0.04145900465069725
vec,18,fega,0.04127284727457795
vec,19,▁gaveva,0.041234985316864314
vec,20,ẑ,0.040633098988539035
vec,21,▁unii,0.03994022645706515
vec,22,▁intrà,0.039144683785756834
vec,23,▁stà,0.03907012664734071
vec,24,▁pì,0.038870761370813946
vec,25,ìz,0.038631387298375196
vec,26,feg,0.03835710517795028
vec,27,▁guera,0.038228122230288424
vec,28,▁tuti,0.03806955601407302
vec,29,▁ciapa,0.038033101867795134
vec,30,▁tuto,0.03726793699621797
lmo,1,▁hinn,0.05724957238786442
lmo,2,▁poeu,0.05296022690253601
lmo,3,▁gesa,0.052869641079815025
lmo,4,▁staa,0.0506879672133568
lmo,5,▁troeuva,0.050488383046440356
lmo,6,▁pussee,0.05018802902729075
lmo,7,coeu,0.049698050395652456
lmo,8,▁piö,0.04912094099212502
lmo,9,▁inscì,0.04862511795481249
lmo,10,▁indova,0.048162752141629024
lmo,11,▁cümü,0.04763366386854113
lmo,12,▁quaj,0.04748605931526358
lmo,13,üra,0.04744870146674258
lmo,14,▁foeura,0.04741115729401697
lmo,15,▁cumün,0.04725907957569125
lmo,16,zzion,0.04666612133197879
lmo,17,▁minga,0.046643140721071195
