source,target,distance,similarity,target_family,target_display
slv,cat,0.226929,0.773071,romance,Catalan
slv,lij,0.234519,0.765481,italo_romance,Ligurian
slv,fra,0.246005,0.753995,romance,French
slv,scn,0.260959,0.739041,italo_romance,Sicilian
spa,cat,0.082580,0.917420,romance,Catalan
spa,eng,0.093712,0.906288,english,English
spa,ita,0.099806,0.900194,italian,Italian
spa,fra,0.131354,0.868646,romance,French
spa,lmo,0.141762,0.858238,italo_romance,Lombard
spa,vec,0.154815,0.845185,italo_romance,Venetian
spa,sc,0.158507,0.841493,italo_romance,Sardinian
spa,deu,0.180735,0.819265,germanic,German
spa,slv,0.187504,0.812496,slavic,Slovenian
spa,lij,0.203247,0.796753,italo_romance,Ligurian
spa,fur,0.211981,0.788019,italo_romance,Friulian
spa,scn,0.249350,0.750650,italo_romance,Sicilian
vec,ita,0.070705,0.929295,italian,Italian
vec,lmo,0.093445,0.906555,italo_romance,Lombard
vec,sc,0.114700,0.885300,italo_romance,Sardinian
vec,lij,0.121343,0.878657,italo_romance,Ligurian
vec,spa,0.154815,0.845185,romance,Spanish
vec,fur,0.156435,0.843565,italo_romance,Friulian
vec,eng,0.156964,0.843036,english,English
vec,cat,0.158381,0.841619,romance,Catalan
vec,scn,0.170584,0.829416,italo_romance,Sicilian
vec,fra,0.187334,0.812666,romance,French
vec,slv,0.203276,0.796724,slavic,Slovenian
vec,deu,0.240483,0.759517,germanic,German
